cid,eid1,eid2,eid3,xy
153,232,247,248,"[[30.340170506360998, 13.209128097623001], [30.382282996620003, 12.585450690934], [30.662188088751996, 12.892629581181], [30.340170506360998, 13.209128097623001]]"
154,218,249,250,"[[35.287581093906, 13.094044054244002], [35.2, 13.53], [35.001356200551, 13.240199197248002], [35.287581093906, 13.094044054244002]]"
155,122,125,123,"[[6.010125128286001, 7.644470328645], [6.3319276873520005, 7.733685633019], [5.916666666667, 8.066666666667], [6.010125128286001, 7.644470328645]]"
156,251,252,253,"[[38.600338297106, 12.535315688036], [38.513333333333, 13.013333333333001], [38.281788737361005, 12.671626516926999], [38.600338297106, 12.535315688036]]"
157,250,254,238,"[[35.001356200551, 13.240199197248002], [34.863333333333, 13.563333333333], [34.688353954176, 13.204924113232], [35.001356200551, 13.240199197248002]]"
158,240,255,256,"[[32.551905054468996, 13.383850111178], [32.912923488853004, 13.145038167037999], [32.900856820094, 13.49635549069], [32.551905054468996, 13.383850111178]]"
159,257,258,259,"[[24.739652882893, 13.546653166089001], [24.986666666667, 14.103333333333001], [24.653333333333002, 14.136666666666999], [24.739652882893, 13.546653166089001]]"
160,260,47,49,"[[2.924977597866, 4.117184914918], [2.943353005837, 4.5781737012559995], [2.647136214249, 4.355464148024], [2.924977597866, 4.117184914918]]"
161,180,128,61,"[[31.363333333333003, 13.876666666666999], [31.226845650216, 13.565117965946], [31.508072270621, 13.564104864897999], [31.363333333333003, 13.876666666666999]]"
162,114,206,152,"[[12.985871727144001, 13.264960632133], [12.668079877284999, 13.537768342309999], [12.495518109758, 13.283898416408999], [12.985871727144001, 13.264960632133]]"
163,261,262,116,"[[29.1, 13.96], [29.268117598868, 13.663292616215001], [29.423333333333, 13.943333333333001], [29.1, 13.96]]"
164,262,263,156,"[[29.268117598868, 13.663292616215001], [29.145894327426, 13.366351105479], [29.502463368529998, 13.40090393667], [29.268117598868, 13.663292616215001]]"
165,117,116,262,"[[29.587755548972996, 13.673573659684], [29.423333333333, 13.943333333333001], [29.268117598868, 13.663292616215001], [29.587755548972996, 13.673573659684]]"
166,264,232,248,"[[30.742106101666003, 13.265662404517], [30.340170506360998, 13.209128097623001], [30.662188088751996, 12.892629581181], [30.742106101666003, 13.265662404517]]"
